submission_id,age,beginClicked,comments,correctResponse,correctResponseAttention,delay,delayedUrn,education,experiment_duration,experiment_end_time,experiment_start_time,gameOutcome,gender,languages,leftColor,response,responseAttention,responseLeft,responseRight,responseTime,rightColor,structure,submitClicked,trialNr,trialType
2045,,NA,,win,NA,NA,NA,,199133,1764521553131,1764521353998,NA,male,,red,win,NA,NA,NA,1098,yellow,disjunctive,NA,1,comprehension-1
2045,,NA,,win,NA,NA,NA,,199133,1764521553131,1764521353998,NA,male,,blue,win,NA,NA,NA,486,yellow,disjunctive,NA,2,comprehension-1
2045,,NA,,win,NA,NA,NA,,199133,1764521553131,1764521353998,NA,male,,red,win,NA,NA,NA,503,green,disjunctive,NA,3,comprehension-1
2045,,NA,,lose,NA,NA,NA,,199133,1764521553131,1764521353998,NA,male,,blue,lose,NA,NA,NA,595,green,disjunctive,NA,4,comprehension-1
2045,,1764521378409,,NA,green,simult,left,,199133,1764521553131,1764521353998,win,male,,red,NA,red,NA,NA,6716,green,disjunctive,1764521381827,1,training-attention
2045,,1764521378409,,NA,green,simult,left,,199133,1764521553131,1764521353998,win,male,,red,NA,red,4,4,9300,green,disjunctive,1764521384411,1,training
2045,,1764521385776,,NA,green,short,left,,199133,1764521553131,1764521353998,lose,male,,blue,NA,green,NA,NA,6600,green,disjunctive,1764521391011,2,training-attention
2045,,1764521385776,,NA,green,short,left,,199133,1764521553131,1764521353998,lose,male,,blue,NA,green,4,4,8782,green,disjunctive,1764521393193,2,training
2045,,1764521395427,,NA,NA,simult,left,,199133,1764521553131,1764521353998,lose,male,,blue,NA,NA,4,4,6086,green,disjunctive,1764521400477,1,critical
2045,,1764521403276,,NA,NA,short,right,,199133,1764521553131,1764521353998,lose,male,,blue,NA,NA,4,4,9965,green,disjunctive,1764521410441,2,critical
2045,,1764521411777,,NA,NA,long,left,,199133,1764521553131,1764521353998,win,male,,red,NA,NA,4,4,13601,green,disjunctive,1764521424043,3,critical
2045,,1764521425577,,NA,NA,simult,left,,199133,1764521553131,1764521353998,win,male,,red,NA,NA,4,4,8730,green,disjunctive,1764521432774,4,critical
2045,,1764521434026,,NA,NA,simult,left,,199133,1764521553131,1764521353998,win,male,,red,NA,NA,4,4,13350,yellow,disjunctive,1764521446125,5,critical
2045,,1764521471132,,NA,NA,long,left,,199133,1764521553131,1764521353998,win,male,,blue,NA,NA,4,4,36150,yellow,disjunctive,1764521482275,6,critical
2045,,1764521483576,,NA,NA,short,right,,199133,1764521553131,1764521353998,win,male,,red,NA,NA,4,4,8532,yellow,disjunctive,1764521490807,7,critical
2045,,1764521491909,,NA,NA,simult,right,,199133,1764521553131,1764521353998,win,male,,blue,NA,NA,4,4,7485,yellow,disjunctive,1764521498292,8,critical
2045,,1764521499375,,NA,NA,long,left,,199133,1764521553131,1764521353998,win,male,,red,NA,NA,4,4,12449,yellow,disjunctive,1764521510741,9,critical
2045,,1764521511843,,NA,NA,short,right,,199133,1764521553131,1764521353998,win,male,,blue,NA,NA,4,4,8650,yellow,disjunctive,1764521519391,10,critical
2045,,1764521521107,,NA,NA,short,left,,199133,1764521553131,1764521353998,win,male,,red,NA,NA,4,4,8200,green,disjunctive,1764521527591,11,critical
2045,,1764521528674,,NA,NA,long,right,,199133,1764521553131,1764521353998,lose,male,,blue,NA,NA,4,4,14815,green,disjunctive,1764521542407,12,critical
2046,,NA,,win,NA,NA,NA,,198249,1764527886425,1764527688176,NA,,,red,win,NA,NA,NA,953,yellow,conjunctive,NA,1,comprehension-1
2046,,NA,,lose,NA,NA,NA,,198249,1764527886425,1764527688176,NA,,,blue,lose,NA,NA,NA,829,yellow,conjunctive,NA,2,comprehension-1
2046,,NA,,lose,NA,NA,NA,,198249,1764527886425,1764527688176,NA,,,red,lose,NA,NA,NA,218,green,conjunctive,NA,3,comprehension-1
2046,,NA,,lose,NA,NA,NA,,198249,1764527886425,1764527688176,NA,,,blue,lose,NA,NA,NA,238,green,conjunctive,NA,4,comprehension-1
2046,,1764527722882,,NA,The yellow ball,simult,left,,198249,1764527886425,1764527688176,win,,,red,NA,Both balls were released at the same time,NA,NA,6813,yellow,conjunctive,1764527728563,1,training-attention
2046,,1764527722882,,NA,The yellow ball,simult,left,,198249,1764527886425,1764527688176,win,,,red,NA,Both balls were released at the same time,4,4,11764,yellow,conjunctive,1764527733514,1,training
2046,,1764527735019,,NA,The blue ball,short,right,,198249,1764527886425,1764527688176,lose,,,blue,NA,The blue ball,NA,NA,8632,yellow,conjunctive,1764527742146,2,training-attention
2046,,1764527735019,,NA,The blue ball,short,right,,198249,1764527886425,1764527688176,lose,,,blue,NA,The blue ball,4,4,20104,yellow,conjunctive,1764527753617,2,training
2046,,1764527755548,,NA,NA,short,left,,198249,1764527886425,1764527688176,win,,,red,NA,NA,4,4,7947,yellow,conjunctive,1764527762616,1,critical
2046,,1764527764030,,NA,NA,short,left,,198249,1764527886425,1764527688176,lose,,,blue,NA,NA,4,4,8147,yellow,conjunctive,1764527770763,2,critical
2046,,1764527772134,,NA,Both balls were released at the same time,simult,none,,198249,1764527886425,1764527688176,win,,,red,NA,The yellow ball,NA,NA,5934,yellow,conjunctive,1764527776697,3,critical-attention
2046,,1764527772134,,NA,Both balls were released at the same time,simult,none,,198249,1764527886425,1764527688176,win,,,red,NA,The yellow ball,4,4,10000,yellow,conjunctive,1764527780763,3,critical
2046,,1764527783148,,NA,NA,long,left,,198249,1764527886425,1764527688176,win,,,red,NA,NA,4,4,14285,yellow,conjunctive,1764527795048,4,critical
2046,,1764527797116,,NA,NA,simult,none,,198249,1764527886425,1764527688176,lose,,,blue,NA,NA,4,4,8050,yellow,conjunctive,1764527803098,5,critical
2046,,1764527804549,,NA,Both balls were released at the same time,simult,none,,198249,1764527886425,1764527688176,lose,,,red,NA,The green ball,NA,NA,7582,green,conjunctive,1764527810681,6,critical-attention
2046,,1764527804549,,NA,Both balls were released at the same time,simult,none,,198249,1764527886425,1764527688176,lose,,,red,NA,The green ball,4,4,10549,green,conjunctive,1764527813648,6,critical
2046,,1764527815682,,NA,NA,simult,none,,198249,1764527886425,1764527688176,lose,,,blue,NA,NA,4,4,7370,green,conjunctive,1764527821018,7,critical
2046,,1764527822247,,NA,NA,short,left,,198249,1764527886425,1764527688176,lose,,,blue,NA,NA,4,4,8766,green,conjunctive,1764527829784,8,critical
2046,,1764527831232,,NA,The green ball,long,left,,198249,1764527886425,1764527688176,lose,,,blue,NA,The green ball,NA,NA,11078,green,conjunctive,1764527840863,9,critical-attention
2046,,1764527831232,,NA,The green ball,long,left,,198249,1764527886425,1764527688176,lose,,,blue,NA,The green ball,4,4,14913,green,conjunctive,1764527844698,9,critical
2046,,1764527846082,,NA,NA,short,left,,198249,1764527886425,1764527688176,lose,,,red,NA,NA,4,4,7999,green,conjunctive,1764527852698,10,critical
2046,,1764527853865,,NA,NA,long,left,,198249,1764527886425,1764527688176,lose,,,red,NA,NA,4,5,14232,green,conjunctive,1764527866930,11,critical
2046,,1764527872415,,NA,NA,long,right,,198249,1764527886425,1764527688176,lose,,,blue,NA,NA,4,4,16601,yellow,conjunctive,1764527883531,12,critical
2047,,NA,,win,NA,NA,NA,,334230,1764596465117,1764596130887,NA,,,red,win,NA,NA,NA,2334,yellow,disjunctive,NA,1,comprehension-1
2047,,NA,,win,NA,NA,NA,,334230,1764596465117,1764596130887,NA,,,blue,win,NA,NA,NA,335,yellow,disjunctive,NA,2,comprehension-1
2047,,NA,,win,NA,NA,NA,,334230,1764596465117,1764596130887,NA,,,red,win,NA,NA,NA,414,green,disjunctive,NA,3,comprehension-1
2047,,NA,,lose,NA,NA,NA,,334230,1764596465117,1764596130887,NA,,,blue,lose,NA,NA,NA,764,green,disjunctive,NA,4,comprehension-1
2047,,1764596173938,,NA,The green ball,simult,left,,334230,1764596465117,1764596130887,win,,,red,NA,Both balls were released at the same time,NA,NA,11864,green,disjunctive,1764596182422,1,training-attention
2047,,1764596173938,,NA,The green ball,simult,left,,334230,1764596465117,1764596130887,win,,,red,NA,Both balls were released at the same time,4,4,15397,green,disjunctive,1764596185955,1,training
2047,,1764596187372,,NA,The blue ball,short,right,,334230,1764596465117,1764596130887,lose,,,blue,NA,Both balls were released at the same time,NA,NA,22117,green,disjunctive,1764596208072,2,training-attention
2047,,1764596187372,,NA,The blue ball,short,right,,334230,1764596465117,1764596130887,lose,,,blue,NA,Both balls were released at the same time,4,4,24518,green,disjunctive,1764596210473,2,training
2047,,1764596218556,,NA,NA,simult,none,,334230,1764596465117,1764596130887,win,,,blue,NA,NA,4,4,16734,yellow,disjunctive,1764596232638,1,critical
2047,,1764596234891,,NA,NA,simult,none,,334230,1764596465117,1764596130887,win,,,red,NA,NA,4,4,8901,yellow,disjunctive,1764596241539,2,critical
2047,,1764596257389,,NA,The yellow ball,long,left,,334230,1764596465117,1764596130887,win,,,blue,NA,Both balls were released at the same time,NA,NA,76950,yellow,disjunctive,1764596318489,3,critical-attention
2047,,1764596257389,,NA,The yellow ball,long,left,,334230,1764596465117,1764596130887,win,,,blue,NA,Both balls were released at the same time,4,4,79150,yellow,disjunctive,1764596320689,3,critical
2047,,1764596321773,,NA,NA,short,right,,334230,1764596465117,1764596130887,lose,,,blue,NA,NA,3,3,11000,green,disjunctive,1764596331689,4,critical
2047,,1764596345188,,NA,NA,simult,none,,334230,1764596465117,1764596130887,win,,,red,NA,NA,4,4,18750,green,disjunctive,1764596350439,5,critical
2047,,1764596351690,,NA,The yellow ball,short,left,,334230,1764596465117,1764596130887,win,,,red,NA,The yellow ball,NA,NA,9816,yellow,disjunctive,1764596360256,6,critical-attention
2047,,1764596351690,,NA,The yellow ball,short,left,,334230,1764596465117,1764596130887,win,,,red,NA,The yellow ball,4,4,13016,yellow,disjunctive,1764596363456,6,critical
2047,,1764596364807,,NA,NA,long,left,,334230,1764596465117,1764596130887,win,,,red,NA,NA,4,4,16383,yellow,disjunctive,1764596379840,7,critical
2047,,1764596382189,,NA,NA,long,left,,334230,1764596465117,1764596130887,win,,,red,NA,NA,4,4,13517,green,disjunctive,1764596393357,8,critical
2047,,1764596395490,,NA,Both balls were released at the same time,simult,none,,334230,1764596465117,1764596130887,lose,,,blue,NA,Both balls were released at the same time,NA,NA,17381,green,disjunctive,1764596410738,9,critical-attention
2047,,1764596395490,,NA,Both balls were released at the same time,simult,none,,334230,1764596465117,1764596130887,lose,,,blue,NA,Both balls were released at the same time,4,4,20499,green,disjunctive,1764596413856,9,critical
2047,,1764596418123,,NA,NA,short,left,,334230,1764596465117,1764596130887,win,,,red,NA,NA,4,4,25166,green,disjunctive,1764596439022,10,critical
2047,,1764596440121,,NA,NA,short,right,,334230,1764596465117,1764596130887,win,,,blue,NA,NA,3,3,7883,yellow,disjunctive,1764596446905,11,critical
2047,,1764596447894,,NA,NA,long,right,,334230,1764596465117,1764596130887,lose,,,blue,NA,NA,4,4,11968,green,disjunctive,1764596458873,12,critical
